node1,node2
AARS2,DCK
AARS2,ENPP1
AARS2,EPRS1
AARS2,FBP1
AARS2,GMPS
AARS2,HLCS
AARS2,LIPT1
AARS2,NADSYN1
AARS2,NARS1
AARS2,NME1-NME2
AARS2,NME1
AARS2,NME2
AARS2,NME3
AARS2,NME4
AARS2,NME5
AARS2,NME6
AARS2,NME7
AARS2,NT5C1A
AARS2,NT5C1B
AARS2,NT5C2
AARS2,NT5C3A
AARS2,NT5C
AARS2,NT5E
AARS2,PAPSS2
AARS2,PKLR
AARS2,PKM
AARS2,PPA2
AARS2,PPCS
AARS2,PRPS1L1
AARS2,SEPHS1
AARS2,SEPHS2
AARS2,SLC27A5
AASDHPPT,BPNT1
AASDHPPT,ELOVL2
AASDHPPT,ELOVL6
AASDHPPT,GAL3ST1
AASDHPPT,LIPT2
AASDHPPT,OXSM
AASS,AADAT
AASS,ABAT
AASS,ACY1
AASS,AGXT
AASS,ALDH18A1
AASS,ALDH4A1
AASS,ALDH7A1
AASS,BBOX1
AASS,BCAT2
AASS,BTD
AASS,CARNS1
AASS,DLD
AASS,DLST
AASS,EARS2
AASS,EPRS1
AASS,FPGS
AASS,FTCD
AASS,GAD1
AASS,GAD2
AASS,GCLC
AASS,GCLM
AASS,GFPT1
AASS,GGT5
AASS,GLS
AASS,GLUD1
AASS,GLUD2
AASS,GLUL
AASS,GMPS
AASS,GNPDA2
AASS,GOT1L1
AASS,GOT1
AASS,GOT2
AASS,GPT2
AASS,GPT
AASS,IDH1
AASS,IDH2
AASS,IDH3A
AASS,IDH3B
AASS,IDH3G
AASS,IL4I1
AASS,KARS1
AASS,KYAT1
AASS,L2HGDH
AASS,NADSYN1
AASS,NAGS
AASS,OAT
AASS,OGDHL
AASS,OGDH
AASS,P4HA1
AASS,P4HA2
AASS,P4HA3
AASS,PFAS
AASS,PLOD1
AASS,PLOD2
AASS,PLOD3
AASS,PSAT1
AASS,RIMKLA
AASS,SLC17A6
AASS,SLC17A7
AASS,SLC17A8
AASS,SLC3A2
AASS,SLC7A11
AASS,TAT
AASS,TMLHE
ABAT,AADAT
ABAT,AARS2
ABAT,AASS
ABAT,ABCD1
ABAT,ACO1
ABAT,ACO2
ABAT,ACSS1
ABAT,ACSS2
ABAT,ACY1
ABAT,ADHFE1
ABAT,AGXT
ABAT,ALDH18A1
ABAT,ALDH2
ABAT,ALDH3A2
ABAT,ALDH4A1
ABAT,ALDH5A1
ABAT,ALDH6A1
ABAT,ALKBH1
ABAT,ALKBH3
ABAT,ALKBH4
ABAT,ALKBH5
ABAT,ALKBH7
ABAT,AOX1
ABAT,ASNS
ABAT,ASPH
ABAT,BBOX1
ABAT,BCAT1
ABAT,BCAT2
ABAT,CARNS1
ABAT,CISD1
ABAT,CSAD
ABAT,DLD
ABAT,DLST
ABAT,EARS2
ABAT,EGLN1
ABAT,EGLN2
ABAT,EGLN3
ABAT,EHHADH
ABAT,EPRS1
ABAT,FASN
ABAT,FDFT1
ABAT,FPGS
ABAT,FTCD
ABAT,FTO
ABAT,GAD1
ABAT,GAD2
ABAT,GCLC
ABAT,GCLM
ABAT,GFPT1
ABAT,GGT5
ABAT,GLS
ABAT,GLUD1
ABAT,GLUD2
ABAT,GLUL
ABAT,GMPS
ABAT,GNPDA2
ABAT,GOT1L1
ABAT,GOT1
ABAT,GOT2
ABAT,GPT2
ABAT,GPT
ABAT,HADH
ABAT,HIBADH
ABAT,HSD17B10
ABAT,IDH1
ABAT,IDH2
ABAT,IDH3A
ABAT,IDH3B
ABAT,IDH3G
ABAT,IL4I1
ABAT,JMJD7
ABAT,KDM3A
ABAT,KDM5C
ABAT,KDM6B
ABAT,KDM8
ABAT,KYAT1
ABAT,KYAT3
ABAT,KYNU
ABAT,L2HGDH
ABAT,LDHAL6A
ABAT,LDHAL6B
ABAT,LDHA
ABAT,LDHB
ABAT,ME1
ABAT,ME2
ABAT,ME3
ABAT,NADSYN1
ABAT,NAGS
ABAT,NDUFA10
ABAT,NDUFA11
ABAT,NDUFA12
ABAT,NDUFA13
ABAT,NDUFA1
ABAT,NDUFA2
ABAT,NDUFA3
ABAT,NDUFA4L2
ABAT,NDUFA4
ABAT,NDUFA5
ABAT,NDUFA6
ABAT,NDUFA7
ABAT,NDUFA8
ABAT,NDUFA9
ABAT,NDUFAB1
ABAT,NDUFB10
ABAT,NDUFB11
ABAT,NDUFB1
ABAT,NDUFB2
ABAT,NDUFB3
ABAT,NDUFB4
ABAT,NDUFB5
ABAT,NDUFB6
ABAT,NDUFB7
ABAT,NDUFB8
ABAT,NDUFB9
ABAT,NDUFC1
ABAT,NDUFC2
ABAT,NDUFS1
ABAT,NDUFS3
ABAT,NDUFS4
ABAT,NDUFS5
ABAT,NDUFS6
ABAT,NDUFS8
ABAT,NDUFV2
ABAT,NDUFV3
ABAT,NME1-NME2
ABAT,NME1
ABAT,NME2
ABAT,NME3
ABAT,NME4
ABAT,NME5
ABAT,NME6
ABAT,NME7
ABAT,OAT
ABAT,OGDHL
ABAT,OGDH
ABAT,P4HA1
ABAT,P4HA2
ABAT,P4HA3
ABAT,PC
ABAT,PDHB
ABAT,PDHX
ABAT,PFAS
ABAT,PHYH
ABAT,PKLR
ABAT,PKM
ABAT,PLOD1
ABAT,PLOD2
ABAT,PLOD3
ABAT,PPAT
ABAT,PSAT1
ABAT,RIMKLA
ABAT,RIOX1
ABAT,RIOX2
ABAT,SCLY
ABAT,SLC17A6
ABAT,SLC17A7
ABAT,SLC17A8
ABAT,SLC25A11
ABAT,SLC25A12
ABAT,SLC25A13
ABAT,SLC25A18
ABAT,SLC25A21
ABAT,SLC25A22
ABAT,SLC3A2
ABAT,SLC7A11
ABAT,TAT
ABAT,TET1
ABAT,TMLHE
ABAT,TUBA8
ABAT,TYW5
ABAT,UPB1
ABCA10,APOA1
ABCA10,CH25H
ABCA10,LCAT
ABCA10,SULT2B1
ABCA1,ABCG5
ABCA1,ABCG8
ABCA1,ACE2
ABCA1,ACY3
ABCA1,APOA1
ABCA1,ATG9B
ABCA1,BCAT1
ABCA1,BCKDHB
ABCA1,CAV3
ABCA1,CDO1
ABCA1,CES1
ABCA1,CLTRN
ABCA1,CNDP2
ABCA1,CPA1
ABCA1,CPA2
ABCA1,CPA6
ABCA1,CYP11A1
ABCA1,CYP27A1
ABCA1,CYP3A4
ABCA1,CYP46A1
ABCA1,CYP7A1
ABCA1,DPEP1
ABCA1,FGF19
ABCA1,FGFR4
ABCA1,GCLC
ABCA1,GCLM
ABCA1,GOT1
ABCA1,LAP3
ABCA1,LCAT
ABCA1,LDLR
ABCA1,MIR125A
ABCA1,MSR1
ABCA1,NOS3
ABCA1,OGDHL
ABCA1,OGDH
ABCA1,PAH
ABCA1,PEPD
ABCA1,PLTP
ABCA1,PON1
ABCA1,PPCS
ABCA1,PRODH2
ABCA1,RPL36A
ABCA1,SCARB1
ABCA1,SDS
ABCA1,SLC16A10
ABCA1,SLC1A4
ABCA1,SLC1A5
ABCA1,SLC36A1
ABCA1,SLC38A1
ABCA1,SLC38A2
ABCA1,SLC38A3
ABCA1,SLC38A4
ABCA1,SLC38A5
ABCA1,SLC3A1
ABCA1,SLC3A2
ABCA1,SLC43A1
ABCA1,SLC43A2
ABCA1,SLC6A14
ABCA1,SLC6A20
ABCA1,SLC6A7
ABCA1,SLC7A10
ABCA1,SLC7A1
