gene_name	entry_name
ASPG	LPP60_HUMAN
PPCS	PPCS_HUMAN
PYCR3	P5CR3_HUMAN
ASMT	ASMT_HUMAN
PLA2G6	PLPL9_HUMAN
ACAA2	THIM_HUMAN
MOGAT3	MOGT3_HUMAN
C1GALT1	C1GLT_HUMAN
NUDT16	NUD16_HUMAN
HSD17B6	H17B6_HUMAN
GK2	GLPK2_HUMAN
MTMR7	MTMR7_HUMAN
CYB5R1	NB5R1_HUMAN
FUT9	FUT9_HUMAN
DCT	TYRP2_HUMAN
DERA	DEOC_HUMAN
NTPCR	NTPCR_HUMAN
NT5C3A	5NT3A_HUMAN
RENBP	RENBP_HUMAN
PDE4C	PDE4C_HUMAN
B4GALT6	B4GT6_HUMAN
PLA2G12A	PG12A_HUMAN
PNPT1	PNPT1_HUMAN
KMO	KMO_HUMAN
PLA2G4B	PA24B_HUMAN
CPT1C	CPT1C_HUMAN
PDE8B	PDE8B_HUMAN
SULT1A3	ST1A3_HUMAN
HEXA	HEXA_HUMAN
SULT2A1	ST2A1_HUMAN
OAT	OAT_HUMAN
GCAT	KBL_HUMAN
ADH5	ADHX_HUMAN
ALAS2	HEM0_HUMAN
MOGS	MOGS_HUMAN
ACOX2	ACOX2_HUMAN
ALDOC	ALDOC_HUMAN
LDHAL6A	LDH6A_HUMAN
POLE3	DPOE3_HUMAN
NSDHL	NSDHL_HUMAN
ADH1A	ADH1A_HUMAN
SLC27A5	S27A5_HUMAN
NT5C1A	5NT1A_HUMAN
ACER3	ACER3_HUMAN
FTCD	FTCD_HUMAN
AASDHPPT	ADPPT_HUMAN
KYAT1	KAT1_HUMAN
THTPA	THTPA_HUMAN
INMT	INMT_HUMAN
ME3	MAON_HUMAN
ALG2	ALG2_HUMAN
CES5A	EST5A_HUMAN
CHAT	CLAT_HUMAN
NUDT14	NUD14_HUMAN
SELENOI	EPT1_HUMAN
NT5C	NT5C_HUMAN
GFPT1	GFPT1_HUMAN
IDI1	IDI1_HUMAN
HSD3B1	3BHS1_HUMAN
HNMT	HNMT_HUMAN
SDHA	SDHA_HUMAN
B3GLCT	B3GLT_HUMAN
PIGH	PIGH_HUMAN
PCYT1A	PCY1A_HUMAN
MGST2	MGST2_HUMAN
DHCR24	DHC24_HUMAN
LPL	LIPL_HUMAN
DPAGT1	GPT_HUMAN
ECHS1	ECHM_HUMAN
PDE6H	CNCG_HUMAN
GPX6	GPX6_HUMAN
PDE7A	PDE7A_HUMAN
PISD	PISD_HUMAN
EHHADH	ECHP_HUMAN
PDE1A	PDE1A_HUMAN
COX10	COX10_HUMAN
TK2	KITM_HUMAN
GALNS	GALNS_HUMAN
TH	TY3H_HUMAN
PIPOX	SOX_HUMAN
SEPHS1	SPS1_HUMAN
RPE65	RPE65_HUMAN
MTHFS	MTHFS_HUMAN
PIGM	PIGM_HUMAN
PKM	KPYM_HUMAN
SULT1A1	ST1A1_HUMAN
UGT1A1	UD11_HUMAN
CYP4A22	CP4AM_HUMAN
HADH	HCDH_HUMAN
CYP51A1	CP51A_HUMAN
B3GALT5	B3GT5_HUMAN
ACSL4	ACSL4_HUMAN
COQ7	COQ7_HUMAN
CYP11B1	C11B1_HUMAN
GLUL	GLNA_HUMAN
PPCDC	COAC_HUMAN
ALOX15B	LX15B_HUMAN
SARDH	SARDH_HUMAN
CAD	PYR1_HUMAN
CYP2C9	CP2C9_HUMAN
GNS	GNS_HUMAN
NANS	SIAS_HUMAN
RRM1	RIR1_HUMAN
GGCT	GGCT_HUMAN
AWAT2	AWAT2_HUMAN
ACADL	ACADL_HUMAN
MGAT2	MGAT2_HUMAN
ENPP6	ENPP6_HUMAN
AK3	KAD3_HUMAN
GNPAT	GNPAT_HUMAN
NEU4	NEUR4_HUMAN
HK2	HXK2_HUMAN
PAPSS2	PAPS2_HUMAN
HSD11B2	DHI2_HUMAN
MTHFD1L	C1TM_HUMAN
SGPP1	SGPP1_HUMAN
MAOA	AOFA_HUMAN
PIGO	PIGO_HUMAN
STS	STS_HUMAN
GPX4	GPX4_HUMAN
PDE4D	PDE4D_HUMAN
ALG3	ALG3_HUMAN
CPOX	HEM6_HUMAN
P4HA3	P4HA3_HUMAN
FUT3	FUT3_HUMAN
ADH7	ADH7_HUMAN
AOC2	AOC2_HUMAN
CAT	CATA_HUMAN
HARS2	SYHM_HUMAN
ABAT	GABT_HUMAN
HAO2	HAOX2_HUMAN
SYNJ2	SYNJ2_HUMAN
GCNT1	GCNT1_HUMAN
MPI	MPI_HUMAN
PGD	6PGD_HUMAN
ACOT4	ACOT4_HUMAN
B4GALT4	B4GT4_HUMAN
CYP2E1	CP2E1_HUMAN
INPP5B	I5P2_HUMAN
LPCAT3	MBOA5_HUMAN
PSTK	PSTK_HUMAN
ADA	ADA_HUMAN
LIPA	LICH_HUMAN
ST6GAL1	SIAT1_HUMAN
CES2	EST2_HUMAN
CNDP1	CNDP1_HUMAN
SORD	DHSO_HUMAN
GALT	GALT_HUMAN
FUT5	FUT5_HUMAN
AMACR	AMACR_HUMAN
GAMT	GAMT_HUMAN
B4GAT1	B4GA1_HUMAN
MIOX	MIOX_HUMAN
XDH	XDH_HUMAN
GPI	G6PI_HUMAN
FUT8	FUT8_HUMAN
DHRS9	DHRS9_HUMAN
PGM2	PGM2_HUMAN
NUDT2	AP4A_HUMAN
CYP1A1	CP1A1_HUMAN
GBGT1	GBGT1_HUMAN
ADK	ADK_HUMAN
ASNS	ASNS_HUMAN
GCDH	GCDH_HUMAN
BDH1	BDH_HUMAN
GCNT2	GNT2A_HUMAN
IDUA	IDUA_HUMAN
ASAH1	ASAH1_HUMAN
PLB1	PLB1_HUMAN
PIGL	PIGL_HUMAN
B3GALT2	B3GT2_HUMAN
BPNT1	BPNT1_HUMAN
FUT2	FUT2_HUMAN
GRHPR	GRHPR_HUMAN
BCKDHB	ODBB_HUMAN
PDE3B	PDE3B_HUMAN
TECR	TECR_HUMAN
HPSE2	HPSE2_HUMAN
NANP	NANP_HUMAN
AGMAT	GDAH_HUMAN
PANK2	PANK2_HUMAN
ALG1	ALG1_HUMAN
TRIT1	MOD5_HUMAN
PDE10A	PDE10_HUMAN
NAT2	ARY2_HUMAN
PANK4	PANK4_HUMAN
CYP2R1	CP2R1_HUMAN
B4GALT5	B4GT5_HUMAN
CH25H	CH25H_HUMAN
POLA1	DPOLA_HUMAN
GSTP1	GSTP1_HUMAN
NEU1	NEUR1_HUMAN
SQLE	ERG1_HUMAN
MGAT4C	MGT4C_HUMAN
HK3	HXK3_HUMAN
DOLK	DOLK_HUMAN
PIGZ	PIGZ_HUMAN
TXNRD3	TRXR3_HUMAN
ALDH9A1	AL9A1_HUMAN
POMT1	POMT1_HUMAN
LFNG	LFNG_HUMAN
ACYP2	ACYP2_HUMAN
NME6	NDK6_HUMAN
POLG2	DPOG2_HUMAN
GANAB	GANAB_HUMAN
PTEN	PTEN_HUMAN
ENPP2	ENPP2_HUMAN
ACAT1	THIL_HUMAN
NIT2	NIT2_HUMAN
DGUOK	DGUOK_HUMAN
LARS2	SYLM_HUMAN
PIP5K1B	PI51B_HUMAN
SC5D	SC5D_HUMAN
GSTO2	GSTO2_HUMAN
TMLHE	TMLH_HUMAN
OGT	OGT1_HUMAN
PSAT1	SERC_HUMAN
BLVRB	BLVRB_HUMAN
GCNT4	GCNT4_HUMAN
PDE9A	PDE9A_HUMAN
ALG14	ALG14_HUMAN
UGT2B4	UD2B4_HUMAN
AMDHD1	HUTI_HUMAN
ARSB	ARSB_HUMAN
IVD	IVD_HUMAN
DHODH	PYRD_HUMAN
B3GAT2	B3GA2_HUMAN
POLR3K	RPC10_HUMAN
B3GALNT1	B3GL1_HUMAN
PLOD2	PLOD2_HUMAN
NME4	NDKM_HUMAN
MTHFR	MTHR_HUMAN
NME1	NDKA_HUMAN
UGT2A2	UD2A2_HUMAN
ALG5	ALG5_HUMAN
ALG10	AG10A_HUMAN
P4HA2	P4HA2_HUMAN
GART	PUR2_HUMAN
UGT8	CGT_HUMAN
LPGAT1	LGAT1_HUMAN
ENTPD2	ENTP2_HUMAN
COQ6	COQ6_HUMAN
FECH	HEMH_HUMAN
IMPA2	IMPA2_HUMAN
DLAT	ODP2_HUMAN
UROS	HEM4_HUMAN
IPMK	IPMK_HUMAN
OXSM	OXSM_HUMAN
TUBA8	TBA8_HUMAN
GMPR2	GMPR2_HUMAN
ALOX12B	LX12B_HUMAN
UMPS	UMPS_HUMAN
SULT1A4	ST1A4_HUMAN
LPCAT4	LPCT4_HUMAN
ALAD	HEM2_HUMAN
G6PC2	G6PC2_HUMAN
CYP2B6	CP2B6_HUMAN
IDS	IDS_HUMAN
TM7SF2	ERG24_HUMAN
NOS3	NOS3_HUMAN
CHPT1	CHPT1_HUMAN
ST8SIA5	SIA8E_HUMAN
POLA2	DPOA2_HUMAN
BCKDHA	ODBA_HUMAN
DLD	DLDH_HUMAN
MGAT5B	MGT5B_HUMAN
CYP7A1	CP7A1_HUMAN
GLS	GLSK_HUMAN
ACADM	ACADM_HUMAN
GSTK1	GSTK1_HUMAN
ALDH3A1	AL3A1_HUMAN
TXNRD2	TRXR2_HUMAN
PGM2L1	PGM2L_HUMAN
CYP27A1	CP27A_HUMAN
PIP4K2B	PI42B_HUMAN
BBOX1	BODG_HUMAN
ME1	MAOX_HUMAN
POLE	DPOE1_HUMAN
UGT1A5	UD15_HUMAN
IMPDH2	IMDH2_HUMAN
B4GALT2	B4GT2_HUMAN
PANK1	PANK1_HUMAN
PGM1	PGM1_HUMAN
RPIA	RPIA_HUMAN
ENTPD3	ENTP3_HUMAN
MAN1B1	MA1B1_HUMAN
UXS1	UXS1_HUMAN
CYP17A1	CP17A_HUMAN
B4GALNT1	B4GN1_HUMAN
GALC	GALC_HUMAN
PIGC	PIGC_HUMAN
ST3GAL6	SIA10_HUMAN
RBKS	RBSK_HUMAN
AOC3	AOC3_HUMAN
METTL6	METL6_HUMAN
MECR	MECR_HUMAN
B3GALT4	B3GT4_HUMAN
HACD1	HACD1_HUMAN
KYAT3	KAT3_HUMAN
NNT	NNTM_HUMAN
POLD3	DPOD3_HUMAN
MGAT4B	MGT4B_HUMAN
ACY1	ACY1_HUMAN
AKR1B10	AK1BA_HUMAN
BCAT2	BCAT2_HUMAN
TKTL2	TKTL2_HUMAN
AMY1A	AMY1A_HUMAN
DPM2	DPM2_HUMAN
TAT	ATTY_HUMAN
P4HA1	P4HA1_HUMAN
LDHD	LDHD_HUMAN
GUK1	KGUA_HUMAN
PKLR	KPYR_HUMAN
ISYNA1	INO1_HUMAN
MGLL	MGLL_HUMAN
MTMR2	MTMR2_HUMAN
NPL	NPL_HUMAN
CHIT1	CHIT1_HUMAN
CPT1B	CPT1B_HUMAN
BPGM	PMGE_HUMAN
RETSAT	RETST_HUMAN
SUCLG2	SUCB2_HUMAN
ASPA	ACY2_HUMAN
OPLAH	OPLA_HUMAN
PLA2G2A	PA2GA_HUMAN
PAFAH2	PAFA2_HUMAN
PTDSS2	PTSS2_HUMAN
GGPS1	GGPPS_HUMAN
RDH11	RDH11_HUMAN
ACAD8	ACAD8_HUMAN
ALG6	ALG6_HUMAN
NAGK	NAGK_HUMAN
B3GALT1	B3GT1_HUMAN
PLD1	PLD1_HUMAN
PIGF	PIGF_HUMAN
XYLT1	XYLT1_HUMAN
PDE7B	PDE7B_HUMAN
INPP4B	INP4B_HUMAN
SARS2	SYSM_HUMAN
CYP7B1	CP7B1_HUMAN
ST6GALNAC4	SIA7D_HUMAN
AFMID	KFA_HUMAN
ACADVL	ACADV_HUMAN
GGH	GGH_HUMAN
NT5C1B	5NT1B_HUMAN
GNMT	GNMT_HUMAN
NAGA	NAGAB_HUMAN
NADK	NADK_HUMAN
B3GNT5	B3GN5_HUMAN
MAN2A2	MA2A2_HUMAN
PNPLA4	PLPL4_HUMAN
MBOAT7	MBOA7_HUMAN
NUDT9	NUDT9_HUMAN
PIGN	PIGN_HUMAN
DLST	ODO2_HUMAN
PAICS	PUR6_HUMAN
GSTZ1	MAAI_HUMAN
GANC	GANC_HUMAN
FHIT	FHIT_HUMAN
VNN2	VNN2_HUMAN
PIGP	PIGP_HUMAN
IDH3G	IDH3G_HUMAN
PGLS	6PGL_HUMAN
CMAS	NEUA_HUMAN
PSPH	SERB_HUMAN
AGL	GDE_HUMAN
DUT	DUT_HUMAN
AKR1A1	AK1A1_HUMAN
BTD	BTD_HUMAN
GSTT1	GSTT1_HUMAN
ELOVL6	ELOV6_HUMAN
SPTLC1	SPTC1_HUMAN
ALDH5A1	SSDH_HUMAN
NFS1	NFS1_HUMAN
UGT1A4	UD14_HUMAN
PIGY	PIGY_HUMAN
NME3	NDK3_HUMAN
TYMS	TYSY_HUMAN
GPD2	GPDM_HUMAN
AMY1C	AMY1C_HUMAN
ENO2	ENOG_HUMAN
CYP2A13	CP2AD_HUMAN
UGT1A9	UD19_HUMAN
CTH	CGL_HUMAN
GAPDH	G3P_HUMAN
DPYD	DPYD_HUMAN
ITPK1	ITPK1_HUMAN
UGT2B7	UD2B7_HUMAN
PIK3C3	PK3C3_HUMAN
POLG	DPOG1_HUMAN
OXCT2	SCOT2_HUMAN
ADSL	PUR8_HUMAN
SGPL1	SGPL1_HUMAN
GCNT3	GCNT3_HUMAN
A4GALT	A4GAT_HUMAN
PRDX6	PRDX6_HUMAN
B3GNT6	B3GN6_HUMAN
LIPT2	LIPT2_HUMAN
CYP2J2	CP2J2_HUMAN
L2HGDH	L2HDH_HUMAN
BHMT	BHMT1_HUMAN
SAT2	SAT2_HUMAN
ACAA1	THIK_HUMAN
PDE2A	PDE2A_HUMAN
CYP46A1	CP46A_HUMAN
MGAM	MGA_HUMAN
ST3GAL1	SIA4A_HUMAN
PLA2G4A	PA24A_HUMAN
HLCS	BPL1_HUMAN
GPLD1	PHLD_HUMAN
GOT2	AATM_HUMAN
ME2	MAOM_HUMAN
UPP2	UPP2_HUMAN
TXNDC12	TXD12_HUMAN
SPR	SPRE_HUMAN
CARS2	SYCM_HUMAN
SCLY	SCLY_HUMAN
MBOAT1	MBOA1_HUMAN
MTFMT	FMT_HUMAN
MTMR1	MTMR1_HUMAN
NAT1	ARY1_HUMAN
PC	PYC_HUMAN
UGT1A6	UD16_HUMAN
PLA2G2D	PA2GD_HUMAN
PFAS	PUR4_HUMAN
GSTA1	GSTA1_HUMAN
GALNT4	GALT4_HUMAN
OGDH	ODO1_HUMAN
ST3GAL4	SIA4C_HUMAN
TPMT	TPMT_HUMAN
DDO	OXDD_HUMAN
NNMT	NNMT_HUMAN
AOX1	AOXA_HUMAN
PIGB	PIGB_HUMAN
KMT5B	KMT5B_HUMAN
COQ5	COQ5_HUMAN
SRD5A3	SR5A3_HUMAN
ENO3	ENOB_HUMAN
SRM	SPEE_HUMAN
SGMS2	SMS2_HUMAN
ACSM5	ACSM5_HUMAN
DHFR	DYR_HUMAN
SCP2	SCP2_HUMAN
ALG11	ALG11_HUMAN
UGDH	UGDH_HUMAN
DEGS1	DEGS1_HUMAN
UGT2A1	UD2A1_HUMAN
IPPK	IPPK_HUMAN
AARS2	SYAM_HUMAN
NEU2	NEUR2_HUMAN
UGT1A10	UD110_HUMAN
GGT5	GGT5_HUMAN
GSTA3	GSTA3_HUMAN
ALDH18A1	P5CS_HUMAN
GPAT3	GPAT3_HUMAN
EARS2	SYEM_HUMAN
IDH3B	IDH3B_HUMAN
GCK	HXK4_HUMAN
PDE6G	CNRG_HUMAN
GMPPB	GMPPB_HUMAN
AMT	GCST_HUMAN
CD38	CD38_HUMAN
CERS1	CERS1_HUMAN
GSS	GSHB_HUMAN
IDO2	I23O2_HUMAN
PNMT	PNMT_HUMAN
ST3GAL5	SIAT9_HUMAN
CHDH	CHDH_HUMAN
ASS1	ASSY_HUMAN
COASY	COASY_HUMAN
GAD1	DCE1_HUMAN
GNPDA2	GNPI2_HUMAN
NME7	NDK7_HUMAN
DBH	DOPO_HUMAN
ST8SIA1	SIA8A_HUMAN
SUCLA2	SUCB1_HUMAN
SI	SUIS_HUMAN
B4GALT7	B4GT7_HUMAN
AKR1D1	AK1D1_HUMAN
PLA2G1B	PA21B_HUMAN
PLA2G12B	PG12B_HUMAN
AMY2B	AMY2B_HUMAN
ANPEP	AMPN_HUMAN
ADPGK	ADPGK_HUMAN
AASS	AASS_HUMAN
B3GALT6	B3GT6_HUMAN
ST3GAL3	SIAT6_HUMAN
IDH1	IDHC_HUMAN
TUT4	TUT4_HUMAN
SMPD1	ASM_HUMAN
GSTT2	GST2_HUMAN
PRODH	PROD_HUMAN
CYP21A2	CP21A_HUMAN
HK1	HXK1_HUMAN
GLO1	LGUL_HUMAN
NAGLU	ANAG_HUMAN
UCK1	UCK1_HUMAN
PDE1C	PDE1C_HUMAN
DCK	DCK_HUMAN
ALAS1	HEM1_HUMAN
PIGW	PIGW_HUMAN
AMY1B	AMY1B_HUMAN
EXT1	EXT1_HUMAN
GMDS	GMDS_HUMAN
HGSNAT	HGNAT_HUMAN
LAP3	AMPL_HUMAN
CSGALNACT2	CGAT2_HUMAN
PLA2G2C	PA2GC_HUMAN
TYR	TYRO_HUMAN
IL4I1	OXLA_HUMAN
CDIPT	CDIPT_HUMAN
HSD17B12	DHB12_HUMAN
ADH1B	ADH1B_HUMAN
OLAH	SAST_HUMAN
ITPA	ITPA_HUMAN
PLPP3	PLPP3_HUMAN
DDC	DDC_HUMAN
ST6GALNAC3	SIA7C_HUMAN
PDE4B	PDE4B_HUMAN
IARS2	SYIM_HUMAN
SRR	SRR_HUMAN
PI4KB	PI4KB_HUMAN
GPD1L	GPD1L_HUMAN
MGAT5	MGT5A_HUMAN
CPT2	CPT2_HUMAN
HAL	HUTH_HUMAN
NEU3	NEUR3_HUMAN
KYNU	KYNU_HUMAN
B4GALT1	B4GT1_HUMAN
DHRS4L2	DR4L2_HUMAN
STT3B	STT3B_HUMAN
DHCR7	DHCR7_HUMAN
PDHB	ODPB_HUMAN
NMNAT3	NMNA3_HUMAN
TALDO1	TALDO_HUMAN
HPSE	HPSE_HUMAN
CYP2C19	CP2CJ_HUMAN
MGAT1	MGAT1_HUMAN
PON1	PON1_HUMAN
FARSA	SYFA_HUMAN
PRODH2	HYPDH_HUMAN
SDR16C5	RDHE2_HUMAN
PCK2	PCKGM_HUMAN
NUDT5	NUDT5_HUMAN
EXTL3	EXTL3_HUMAN
LRAT	LRAT_HUMAN
GUSB	BGLR_HUMAN
QPRT	NADC_HUMAN
PIGV	PIGV_HUMAN
ACADSB	ACDSB_HUMAN
POLD4	DPOD4_HUMAN
HIBCH	HIBCH_HUMAN
PDE6D	PDE6D_HUMAN
ASL	ARLY_HUMAN
COQ3	COQ3_HUMAN
CHPF2	CHPF2_HUMAN
NAMPT	NAMPT_HUMAN
IDH2	IDHP_HUMAN
PLA2G2F	PA2GF_HUMAN
CARNS1	CRNS1_HUMAN
DTYMK	KTHY_HUMAN
GSTM2	GSTM2_HUMAN
GXYLT1	GXLT1_HUMAN
INPP1	INPP_HUMAN
NT5M	NT5M_HUMAN
MTHFD2L	MTD2L_HUMAN
PIK3C2G	P3C2G_HUMAN
PNP	PNPH_HUMAN
ALDH1A1	AL1A1_HUMAN
PIP4K2C	PI42C_HUMAN
LCT	LPH_HUMAN
AMDHD2	NAGA_HUMAN
SPHK2	SPHK2_HUMAN
MAT2B	MAT2B_HUMAN
H6PD	G6PE_HUMAN
PIGQ	PIGQ_HUMAN
B4GALT3	B4GT3_HUMAN
PLA2G5	PA2G5_HUMAN
GALM	GALM_HUMAN
LIPT1	LIPT_HUMAN
MGST3	MGST3_HUMAN
PDE6C	PDE6C_HUMAN
CDA	CDD_HUMAN
TXNRD1	TRXR1_HUMAN
GUCY2D	GUC2D_HUMAN
MTHFD1	C1TC_HUMAN
IDH3A	IDH3A_HUMAN
ELOVL2	ELOV2_HUMAN
UROD	DCUP_HUMAN
GLDC	GCSP_HUMAN
PLOD3	PLOD3_HUMAN
HPD	HPPD_HUMAN
CDS1	CDS1_HUMAN
HMBS	HEM3_HUMAN
GMPR	GMPR1_HUMAN
GSTM5	GSTM5_HUMAN
ODC1	DCOR_HUMAN
PIGX	PIGX_HUMAN
PLA2G4E	PA24E_HUMAN
SUOX	SUOX_HUMAN
CEPT1	CEPT1_HUMAN
GSTA4	GSTA4_HUMAN
KDSR	KDSR_HUMAN
OTC	OTC_HUMAN
PIK3C2A	P3C2A_HUMAN
UGT2B15	UDB15_HUMAN
MINPP1	MINP1_HUMAN
ACOX3	ACOX3_HUMAN
CHIA	CHIA_HUMAN
FUT1	FUT1_HUMAN
