CYP2J2	catalysis-precedes	LPCAT4
CYP2J2	catalysis-precedes	PLA2G10
CYP2J2	catalysis-precedes	PLA2G12A
CYP2J2	catalysis-precedes	PLA2G12B
CYP2J2	catalysis-precedes	PLA2G1B
CYP2J2	catalysis-precedes	PLA2G2A
CYP2J2	catalysis-precedes	PLA2G2C
CYP2J2	catalysis-precedes	PLA2G2D
CYP2J2	catalysis-precedes	PLA2G2E
CYP2J2	catalysis-precedes	PLA2G2F
CYP2J2	catalysis-precedes	PLA2G3
CYP2J2	catalysis-precedes	PLA2G4A
CYP2J2	catalysis-precedes	PLA2G4B
CYP2J2	catalysis-precedes	PLA2G4E
CYP2J2	catalysis-precedes	PLA2G5
CYP2J2	catalysis-precedes	PLA2G6
CYP2J2	catalysis-precedes	PLB1
CYP2J2	controls-production-of	chebi:15628
CYP2J2	controls-production-of	chebi:15843
CYP2J2	controls-production-of	chebi:34128
CYP2J2	controls-production-of	chebi:34131
CYP2J2	controls-production-of	chebi:34137
CYP2J2	controls-production-of	chebi:34157
CYP2J2	controls-production-of	chebi:34160
CYP2J2	controls-production-of	chebi:34162
CYP2J2	controls-production-of	chebi:34450
CYP2J2	controls-production-of	chebi:34490
CYP4A22	catalysis-precedes	ALOX12B
CYP4A22	catalysis-precedes	ALOX12
CYP4A22	catalysis-precedes	ALOX15B
CYP4A22	controls-production-of	CHEBI:34130
CYP4A22	catalysis-precedes	CYP2B6
CYP4A22	catalysis-precedes	CYP2C18
CYP4A22	catalysis-precedes	CYP2C19
CYP4A22	catalysis-precedes	CYP2C8
CYP4A22	catalysis-precedes	CYP2C9
CYP4A22	catalysis-precedes	CYP2J2
CYP4A22	catalysis-precedes	EPHX2
CYP4A22	catalysis-precedes	JMJD7-PLA2G4B
CYP4A22	catalysis-precedes	LPCAT4
CYP4A22	catalysis-precedes	PLA2G10
CYP4A22	catalysis-precedes	PLA2G12A
CYP4A22	catalysis-precedes	PLA2G12B
CYP4A22	catalysis-precedes	PLA2G1B
CYP4A22	catalysis-precedes	PLA2G2A
CYP4A22	catalysis-precedes	PLA2G2C
CYP4A22	catalysis-precedes	PLA2G2D
CYP4A22	catalysis-precedes	PLA2G2E
CYP4A22	catalysis-precedes	PLA2G2F
CYP4A22	catalysis-precedes	PLA2G3
CYP4A22	catalysis-precedes	PLA2G4A
CYP4A22	catalysis-precedes	PLA2G4B
CYP4A22	catalysis-precedes	PLA2G4E
CYP4A22	catalysis-precedes	PLA2G5
CYP4A22	catalysis-precedes	PLA2G6
CYP4A22	catalysis-precedes	PLB1
CYP4A22	controls-production-of	chebi:15843
CYP4A22	controls-production-of	chebi:34131
CYP4A22	controls-production-of	chebi:34137
CYP4F3	controls-production-of	chebi:15646
EPHX2	controls-production-of	CHEBI:34130
EPHX2	catalysis-precedes	CYP2B6
EPHX2	catalysis-precedes	CYP2C18
EPHX2	catalysis-precedes	CYP2C19
EPHX2	catalysis-precedes	CYP2C8
EPHX2	catalysis-precedes	CYP2C9
EPHX2	catalysis-precedes	CYP2J2
EPHX2	catalysis-precedes	CYP4A22
EPHX2	controls-production-of	chebi:34157
EPHX2	controls-production-of	chebi:34450
EPHX2	controls-production-of	chebi:34490
EPHX2	controls-production-of	chebi:63966
EPHX2	controls-production-of	chebi:63969
EPHX2	controls-production-of	chebi:63970
EPHX2	controls-production-of	chebi:63974
GGT5	controls-production-of	chebi:15857
GGT5	controls-production-of	chebi:16978
GGT5	controls-production-of	chebi:28666
GGT5	controls-production-of	chebi:33704
GPX6	controls-production-of	chebi:15558
