Node1	Node2	Directionality
HXK2_HUMAN	G6PI_HUMAN	U
HXK2_HUMAN	HXK1_HUMAN	U
HXK2_HUMAN	HXK3_HUMAN	U
HXK2_HUMAN	HKDC1_HUMAN	U
HXK2_HUMAN	PGM1_HUMAN	U
HXK2_HUMAN	PGM2_HUMAN	U
HXK2_HUMAN	chebi:16027	U
HXK2_HUMAN	chebi:17665	U
HXK2_HUMAN	chebi:17719	U
HXK2_HUMAN	chebi:17925	U
HXK3_HUMAN	ADPGK_HUMAN	U
HXK3_HUMAN	G6PC1	U
HXK3_HUMAN	G6PC2_HUMAN	U
HXK3_HUMAN	GALM_HUMAN	U
HXK3_HUMAN	HXK4_HUMAN	U
HXK3_HUMAN	G6PI_HUMAN	U
HXK3_HUMAN	HXK1_HUMAN	U
HXK3_HUMAN	HXK2_HUMAN	U
HXK3_HUMAN	HKDC1_HUMAN	U
HXK3_HUMAN	PGM1_HUMAN	U
HXK3_HUMAN	PGM2_HUMAN	U
HXK3_HUMAN	chebi:16027	U
HXK3_HUMAN	chebi:17665	U
HXK3_HUMAN	chebi:17719	U
HXK3_HUMAN	chebi:17925	U
HKDC1_HUMAN	ADPGK_HUMAN	U
HKDC1_HUMAN	G6PC1	U
HKDC1_HUMAN	G6PC2_HUMAN	U
HKDC1_HUMAN	GALM_HUMAN	U
HKDC1_HUMAN	HXK4_HUMAN	U
HKDC1_HUMAN	G6PI_HUMAN	U
HKDC1_HUMAN	HXK1_HUMAN	U
HKDC1_HUMAN	HXK2_HUMAN	U
HKDC1_HUMAN	HXK3_HUMAN	U
HKDC1_HUMAN	PGM1_HUMAN	U
HKDC1_HUMAN	PGM2_HUMAN	U
HKDC1_HUMAN	chebi:16027	U
HKDC1_HUMAN	chebi:17665	U
HKDC1_HUMAN	chebi:17719	U
HKDC1_HUMAN	chebi:17925	U
LDH6A_HUMAN	ODPB_HUMAN	U
LDH6A_HUMAN	chebi:32816	U
LDH6A_HUMAN	chebi:422	U
ODO1_HUMAN	ODP2_HUMAN	U
OGDHL_HUMAN	ODP2_HUMAN	U
OGDHL_HUMAN	ODPB_HUMAN	U
OGDHL_HUMAN	chebi:80218	U
OGDHL_HUMAN	chebi:80219	U
ODO1_HUMAN	ODPB_HUMAN	U
ODO1_HUMAN	chebi:80218	U
ODO1_HUMAN	chebi:80219	U
PCKGM_HUMAN	ENOA_HUMAN	U
PCKGM_HUMAN	ENOG_HUMAN	U
PCKGM_HUMAN	ENOB_HUMAN	U
PCKGM_HUMAN	chebi:17808	U
PCKGM_HUMAN	chebi:44897	U
ODPB_HUMAN	ODP2_HUMAN	U
ODPB_HUMAN	chebi:80404	U
ODPB_HUMAN	chebi:9532	U
ODPB_HUMAN	chebi:978	U
PFKAP_HUMAN	ALDOC_HUMAN	U
PFKAP_HUMAN	chebi:28013	U
PGM1_HUMAN	ADPGK_HUMAN	U
PGM1_HUMAN	G6PC1	U
PGM1_HUMAN	G6PC2_HUMAN	U
PGM1_HUMAN	HXK4_HUMAN	U
PGM1_HUMAN	G6PI_HUMAN	U
PGM1_HUMAN	HXK1_HUMAN	U
PGM1_HUMAN	HXK2_HUMAN	U
PGM1_HUMAN	HXK3_HUMAN	U
PGM1_HUMAN	HKDC1_HUMAN	U
PGM1_HUMAN	chebi:17665	U
PGM1_HUMAN	chebi:29042	U
PGM2_HUMAN	ADPGK_HUMAN	U
PGM2_HUMAN	G6PC1	U
PGM2_HUMAN	G6PC2_HUMAN	U
PGM2_HUMAN	HXK4_HUMAN	U
PGM2_HUMAN	G6PI_HUMAN	U
PGM2_HUMAN	HXK1_HUMAN	U
PGM2_HUMAN	HXK2_HUMAN	U
PGM2_HUMAN	HXK3_HUMAN	U
PGM2_HUMAN	HKDC1_HUMAN	U
PGM2_HUMAN	chebi:17665	U
PGM2_HUMAN	chebi:29042	U
chebi:15343	ADH1A_HUMAN	U
chebi:15343	ADH1B_HUMAN	U
chebi:15343	ADH1G_HUMAN	U
chebi:15343	ADH4_HUMAN	U
chebi:15343	ADHX_HUMAN	U
chebi:15343	ADH6_HUMAN	U
chebi:15343	ADH7_HUMAN	U
chebi:15343	AK1A1_HUMAN	U
chebi:15343	AL3A1_HUMAN	U
chebi:15343	AL3A2_HUMAN	U
chebi:15343	chebi:15366	U
chebi:15343	chebi:16236	U
chebi:15346	ACSA_HUMAN	U
chebi:15346	ODP2_HUMAN	U
chebi:15346	chebi:15351	U
chebi:15346	chebi:15366	U
chebi:15346	chebi:16027	U
chebi:15346	chebi:80219	U
chebi:15346	chebi:80404	U
chebi:15351	ODP2_HUMAN	U
chebi:15351	chebi:15346	U
chebi:15351	chebi:80219	U
chebi:15351	chebi:80404	U
chebi:15366	ACSA_HUMAN	U
chebi:15366	AL3A1_HUMAN	U
chebi:15366	AL3A2_HUMAN	U
chebi:15366	chebi:15343	U
chebi:15366	chebi:15351	U
chebi:15366	chebi:16027	U
chebi:15903	ADPGK_HUMAN	U
chebi:15903	GALM_HUMAN	U
chebi:15903	HXK4_HUMAN	U
chebi:15903	HXK1_HUMAN	U
chebi:15903	HXK2_HUMAN	U
chebi:15903	HXK3_HUMAN	U
chebi:15903	HKDC1_HUMAN	U
chebi:15903	chebi:16027	U
chebi:15903	chebi:16761	U
chebi:15903	chebi:17719	U
chebi:15903	chebi:17925	U
chebi:16001	PMGE_HUMAN	U
chebi:16001	G3P_HUMAN	U
chebi:16001	chebi:17720	U
chebi:16001	chebi:29052	U
chebi:16027	ADPGK_HUMAN	U
chebi:16027	chebi:15903	U
chebi:16027	chebi:17719	U
chebi:16039	PCKGM_HUMAN	U
chebi:16039	chebi:17808	U
chebi:16039	chebi:30744	U
chebi:16039	chebi:44897	U
chebi:16084	F16P1_HUMAN	U
chebi:16084	PFKAP_HUMAN	U
chebi:16084	chebi:28013	U
chebi:16108	ALDOC_HUMAN	U
chebi:16108	chebi:28013	U
chebi:16108	chebi:29052	U
chebi:16236	ADH1A_HUMAN	U
chebi:16236	ADH1B_HUMAN	U
chebi:16236	ADH1G_HUMAN	U
chebi:16236	ADH4_HUMAN	U
chebi:16236	ADHX_HUMAN	U
chebi:16236	ADH6_HUMAN	U
chebi:16236	ADH7_HUMAN	U
chebi:16236	AK1A1_HUMAN	U
chebi:16236	chebi:15343	U
chebi:16761	ADPGK_HUMAN	U
chebi:16761	G6PC1	U
chebi:16761	G6PC2_HUMAN	U
chebi:16761	HXK4_HUMAN	U
chebi:16761	HXK1_HUMAN	U
chebi:16761	HXK2_HUMAN	U
chebi:16761	HXK3_HUMAN	U
chebi:16761	HKDC1_HUMAN	U
chebi:16761	chebi:16027	U
chebi:16761	chebi:17665	U
chebi:16761	chebi:17665	U
chebi:16761	chebi:17925	U
chebi:17665	ADPGK_HUMAN	U
chebi:17665	G6PC1	U
chebi:17665	G6PC2_HUMAN	U
chebi:17665	HXK4_HUMAN	U
chebi:17665	G6PI_HUMAN	U
chebi:17665	HXK1_HUMAN	U
chebi:17665	HXK2_HUMAN	U
chebi:17665	HXK3_HUMAN	U
chebi:17665	HKDC1_HUMAN	U
chebi:17665	PGM1_HUMAN	U
chebi:17665	PGM2_HUMAN	U
chebi:17665	chebi:15422	U
chebi:17665	chebi:17719	U
chebi:17665	chebi:17925	U
chebi:17665	chebi:29042	U
chebi:17719	ADPGK_HUMAN	U
chebi:17719	G6PI_HUMAN	U
chebi:17719	chebi:15903	U
chebi:17719	chebi:17665	U
chebi:17720	PMGE_HUMAN	U
chebi:17720	chebi:16001	U
chebi:17720	chebi:17794	U
chebi:17794	PMGE_HUMAN	U
chebi:17794	chebi:17720	U
chebi:17794	chebi:26078	U
chebi:17835	ENOA_HUMAN	U
chebi:17835	ENOG_HUMAN	U
chebi:17835	ENOB_HUMAN	U
chebi:17835	chebi:44897	U
chebi:17925	ADPGK_HUMAN	U
chebi:17925	G6PC1	U
chebi:17925	G6PC2_HUMAN	U
chebi:17925	GALM_HUMAN	U
chebi:17925	HXK4_HUMAN	U
chebi:17925	HXK1_HUMAN	U
chebi:17925	HXK2_HUMAN	U
chebi:17925	HXK3_HUMAN	U
chebi:17925	HKDC1_HUMAN	U
chebi:17925	chebi:15903	U
chebi:17925	chebi:16027	U
chebi:17925	chebi:17665	U
chebi:17925	chebi:26078	U
chebi:26078	chebi:29052	U
chebi:28013	ALDOC_HUMAN	U
chebi:28013	F16P1_HUMAN	U
chebi:28013	chebi:16084	U
chebi:28013	chebi:16108	U
chebi:28013	chebi:29052	U
chebi:29042	PGM1_HUMAN	U
chebi:29042	PGM2_HUMAN	U
chebi:29042	chebi:17665	U
chebi:29052	ALDOC_HUMAN	U
chebi:29052	G3P_HUMAN	U
chebi:29052	chebi:16001	U
chebi:29052	chebi:28013	U
chebi:30744	PCKGM_HUMAN	U
chebi:30744	chebi:17808	U
chebi:30744	chebi:44897	U
chebi:32816	LDH6A_HUMAN	U
chebi:32816	ODPB_HUMAN	U
chebi:32816	chebi:422	U
chebi:32816	chebi:9532	U
chebi:32816	chebi:978	U
chebi:422	LDH6A_HUMAN	U
chebi:422	chebi:32816	U
chebi:44897	ENOA_HUMAN	U
chebi:44897	ENOG_HUMAN	U
chebi:44897	ENOB_HUMAN	U
chebi:44897	chebi:17835	U
chebi:80218	DLDH_HUMAN	U
chebi:80218	ODO2_HUMAN	U
chebi:80218	OGDHL_HUMAN	U
chebi:80218	ODO1_HUMAN	U
chebi:80218	ODPB_HUMAN	U
chebi:80218	chebi:80219	U
chebi:80218	chebi:80404	U
chebi:80218	chebi:9532	U
chebi:80218	chebi:978	U
chebi:80219	ODP2_HUMAN	U
chebi:80219	DLDH_HUMAN	U
chebi:80219	ODO2_HUMAN	U
chebi:80219	OGDHL_HUMAN	U
chebi:80219	ODO1_HUMAN	U
chebi:80219	chebi:15346	U
chebi:80219	chebi:80218	U
chebi:80219	chebi:80404	U
chebi:80404	ODP2_HUMAN	U
chebi:80404	chebi:15351	U
chebi:80404	chebi:80219	U
chebi:9532	ODPB_HUMAN	U
chebi:9532	chebi:978	U
chebi:978	ODPB_HUMAN	U
chebi:978	chebi:80404	U
chebi:978	chebi:9532	U
