gene_name,entry_name
ACP6,A0A087WW36_HUMAN
TARS2,SYTM_HUMAN
TARS2,A0A810V1V9_HUMAN
TARS2,A0A810V332_HUMAN
TARS2,U3KQ50_HUMAN
TARS2,U3KQG0_HUMAN
TARS2,Q5T5E9_HUMAN
CYP1B1,CP1B1_HUMAN
CYP1B1,Q53TK1_HUMAN
CYP1B1,C1KDE7_HUMAN
CYP1B1,C1KDE8_HUMAN
CYP1B1,Q4U3K8_HUMAN
CYP1B1,D0EZN6_HUMAN
CYP1B1,C1KDE6_HUMAN
CYP1B1,D0EZN7_HUMAN
CYP1B1,Q2HZ43_HUMAN
CYP1B1,D0EZN5_HUMAN
CYP1B1,A0A087WW26_HUMAN
CYP1B1,Q2EN00_HUMAN
CYP1B1,D0EZN8_HUMAN
CYP1B1,A0A087WUQ7_HUMAN
CYP1B1,A0A2R4CIF1_HUMAN
DOLPP1,DOPP1_HUMAN
DOLPP1,Q8IUV4_HUMAN
DOLPP1,H7C1Z8_HUMAN
DOLPP1,H7BXT6_HUMAN
GSTA2,GSTA2_HUMAN
GSTA2,A0A140VKE2_HUMAN
EBP,EBP_HUMAN
EBP,C9JJ78_HUMAN
EBP,A0A024QYX0_HUMAN
EBP,C9J719_HUMAN
UGT2B28,UDB28_HUMAN
KHK,KHK_HUMAN
KHK,C9JDL1_HUMAN
MVD,MVD1_HUMAN
MVD,H3BP35_HUMAN
MVD,H3BVC4_HUMAN
MVD,H3BQ47_HUMAN
MVD,H3BRZ1_HUMAN
PRIM2,PRI2_HUMAN
PRIM2,I0CMK6_HUMAN
PRIM2,I0EZ64_HUMAN
PRIM2,A0A5F9ZHR0_HUMAN
PRIM2,H9XFA7_HUMAN
PRIM2,I0CMJ8_HUMAN
PRIM2,A0A5F9ZHU7_HUMAN
PRIM2,H9XFA6_HUMAN
PRIM2,A0A096LP51_HUMAN
PTDSS1,PTSS1_HUMAN
PTDSS1,J3KNR6_HUMAN
PTDSS1,Q9BSY0_HUMAN
PPT1,PPT1_HUMAN
PPT1,A0A286YEP3_HUMAN
PPT1,E9PK48_HUMAN
PPT1,A0A286YFL6_HUMAN
PPT1,A0A286YFF7_HUMAN
PPT1,E9PMG2_HUMAN
PPT1,A0A286YFL8_HUMAN
PPT1,E9PP28_HUMAN
PPT1,Q5T0S4_HUMAN
PPT1,A0A286YF39_HUMAN
PPT1,E9PIA8_HUMAN
PPT1,A0A2C9F2P4_HUMAN
PPT1,E9PSE5_HUMAN
PPT1,A0A286YFE3_HUMAN
RFK,RIFK_HUMAN
RFK,H7C4G0_HUMAN
TK1,KITH_HUMAN
TK1,K7ERJ1_HUMAN
TK1,K7ERV3_HUMAN
TK1,K7ES52_HUMAN
TK1,K7ENW5_HUMAN
TK1,B5BUF9_HUMAN
TK1,B5BU32_HUMAN
ADH1C,ADH1G_HUMAN
ADH1C,A0A087WU81_HUMAN
ADH1C,A0A087WUC4_HUMAN
PIGA,PIGA_HUMAN
PIGA,A0A2K4ZA02_HUMAN
PIGA,A0A2K4Z9P5_HUMAN
PIGA,A0A2K4Z9U0_HUMAN
PIGA,A0A2K4Z9X6_HUMAN
PIGA,A0A2K4ZA05_HUMAN
PIGA,A0A2K4Z9T4_HUMAN
PIGA,A0A2K4Z9S8_HUMAN
PIGA,A0A2K4Z9P3_HUMAN
PIGA,A0A2K4Z9U2_HUMAN
PIGA,A0A2K4Z9X8_HUMAN
PIGA,A0A2K4Z9Q9_HUMAN
PIGA,A0A2K4Z9R8_HUMAN
PIGA,A0A2K4Z9R6_HUMAN
PIGA,A0A2K4Z9Q2_HUMAN
PIGA,A0A2K4Z9V9_HUMAN
PIGA,B3KUV7_HUMAN
PIGA,A0A2K4Z9P6_HUMAN
PIGA,A0A2K4Z9V4_HUMAN
PIGA,A0A2K4Z9W5_HUMAN
PIGA,A0A2K4Z9W8_HUMAN
PIGA,A0A2K4Z9P8_HUMAN
PIGA,A0A2K4Z9X9_HUMAN
PIGA,A0A2K4Z9T0_HUMAN
PIGA,A8K382_HUMAN
PIGA,A0A2K4Z9S5_HUMAN
PIGA,A0A2K4Z9S0_HUMAN
PIGA,A0A2K4Z9V5_HUMAN
PIGA,A0A2K4Z9Y3_HUMAN
PIGA,A0A2K4Z9U3_HUMAN
PIGA,A0A2K4ZA06_HUMAN
PIGA,A0A0U1RRE8_HUMAN
PIGA,A0A2K4ZA01_HUMAN
PIGA,A0A2K4Z9Z2_HUMAN
PIGA,A0A2K4Z9Y1_HUMAN
PIGA,A0A2K4Z9Y7_HUMAN
PIGA,A0A2K4Z9P4_HUMAN
PIGA,A0A2K4Z9Z5_HUMAN
PIGA,A0A2K4Z9Y8_HUMAN
PIGA,A0A2K4Z9U9_HUMAN
PIGA,A0A0U1RQF5_HUMAN
PIGA,A0A2K4Z9W0_HUMAN
PIGA,A0A2K4Z9Z7_HUMAN
PIGA,A0A2K4Z9Z0_HUMAN
PIGA,A0A0U1RQM9_HUMAN
PIGA,A0A2K4Z9P9_HUMAN
PIGA,A0A2K4Z9Z6_HUMAN
PIGA,A0A2K4Z9V8_HUMAN
PIGA,A0A2K4Z9X3_HUMAN
PIGA,A0A2K4Z9W2_HUMAN
PIGA,A0A1B0GVE5_HUMAN
PIGA,A0A2K4Z9U6_HUMAN
PIGA,A0A2K4ZA07_HUMAN
PIGA,A0A2K4Z9T1_HUMAN
PIGA,A0A2K4Z9X7_HUMAN
PIGA,A0A2K4ZA03_HUMAN
PIGA,A0A2K4ZA10_HUMAN
PIGA,A0A1B0GU19_HUMAN
PIGA,A0A2K4Z9V3_HUMAN
PIGA,A0A0U1RQW8_HUMAN
PIGA,A0A2K4Z9X1_HUMAN
PIGA,A0A2K4Z9W7_HUMAN
PIGA,A0A2K4ZA04_HUMAN
PIGA,A0A2K4Z9Y4_HUMAN
PIGA,A0A2K4Z9W1_HUMAN
PIGA,A0A2K4Z9Y2_HUMAN
PIGA,A0A2K4Z9R1_HUMAN
PIGA,A0A2K4Z9V6_HUMAN
PIGA,A0A2K4Z9Z9_HUMAN
PIGA,A0A2K4Z9X5_HUMAN
PIGA,A0A2K4Z9T7_HUMAN
PIGA,A0A2K4Z9T5_HUMAN
PIGA,A0A2K4Z9T8_HUMAN
PIGA,A0A2K4ZA29_HUMAN
PIGA,A0A2K4Z9U4_HUMAN
PIGA,A0A2K4Z9W3_HUMAN
PIGA,A0A2K4Z9X4_HUMAN
PIGA,A0A2K4Z9Q7_HUMAN
PIGA,A0A2K4Z9Y9_HUMAN
CHSY1,CHSS1_HUMAN
CHSY1,L8E844_HUMAN
CHSY1,A0A2R8Y7B7_HUMAN
TKFC,TKFC_HUMAN
TKFC,H0YCY6_HUMAN
TKFC,I3L252_HUMAN
TKFC,E9PQR1_HUMAN
TKFC,E9PJG8_HUMAN
LCAT,LCAT_HUMAN
LCAT,Q9Y5N3_HUMAN
LCAT,I3L3R0_HUMAN
LCAT,I3L215_HUMAN
LCAT,I3L0J6_HUMAN
LCAT,I3L1Q6_HUMAN
LCAT,J3QSE5_HUMAN
LCAT,J3QKT0_HUMAN
CRLS1,CRLS1_HUMAN
CRLS1,Q6NTG3_HUMAN
PDE6B,PDE6B_HUMAN
PDE6B,C9J628_HUMAN
PDE6B,C9J7V6_HUMAN
PDE6B,H7C4P9_HUMAN
PDE6B,H7C4F7_HUMAN
PTS,PTPS_HUMAN
PTS,E9PKY8_HUMAN
PTS,E9PJM0_HUMAN
PTS,E9PNN3_HUMAN
CYP27B1,CP27B_HUMAN
CYP27B1,Q9UP42_HUMAN
CYP27B1,A0AAA9YHZ6_HUMAN
CYP27B1,A0AAA9YHN9_HUMAN
CYP27B1,F8VWR7_HUMAN
PNLIPRP2,LIPR2_HUMAN
PNLIPRP2,A0AAG2UXZ9_HUMAN
PNLIPRP2,A0AAG2UW70_HUMAN
PNLIPRP2,A0AAG2UV77_HUMAN
ENPP1,ENPP1_HUMAN
ENPP1,A0A3B3IU14_HUMAN
ENPP1,E9PE72_HUMAN
ENPP1,A0A3B3ISN7_HUMAN
ENPP1,A0A3B3IST7_HUMAN
GSTM1,GSTM1_HUMAN
GSTM1,H3BQT3_HUMAN
GSTM1,X5DR03_HUMAN
GSTM1,B9ZVX7_HUMAN
GSTM1,E7EWW9_HUMAN
GSTM1,H3BRM6_HUMAN
GSTM1,Q16041_HUMAN
GSTM1,X5DNN9_HUMAN
GSTM1,X5D7U4_HUMAN
GSTM1,X5D932_HUMAN
MTM1,MTM1_HUMAN
MTM1,A0A8I5KQR6_HUMAN
MTM1,B7Z499_HUMAN
MTM1,A0A8I5KZ85_HUMAN
MTM1,A0A8I5KT87_HUMAN
MTM1,A0A8I5KZ76_HUMAN
MTM1,A0A8I5KVR9_HUMAN
MTM1,A0A8I5KYJ1_HUMAN
MTM1,A0A8I5QJV9_HUMAN
MTM1,A0A8I5KW93_HUMAN
MTM1,A0A8I5KYA6_HUMAN
MTM1,A0A8I5QJL1_HUMAN
MTM1,A0A8I5KNI6_HUMAN
MTM1,A0A8I5KRS4_HUMAN
MTM1,A0A8I5KVB1_HUMAN
PDXK,PDXK_HUMAN
PDXK,A8MT14_HUMAN
PDXK,A8MV33_HUMAN
PDXK,G1UI32_HUMAN
PDXK,F2Z2Y4_HUMAN
PDXK,A0A0B4J2C9_HUMAN
